ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
25,Sinaloa,000,Total de la entidad Sinaloa,0000,Total de la Entidad,,,,3026943,1532128,1494815,139403,68525,70878,2885315,1462486,1422829,2788482,1414820,1373662,2434258,1241377,1192881,2277814,1164474,1113340,2122138,1087721,1034417,145959,71636,74323,305098,149473,155625,362339,177588,184751,156444,76903,79541,155676,76753,78923,362895,181291,181604,794415,393519,206493,187026,97.56,746904,2007923,269891,236236,116191,120045,250496,122685,127811,260172,127661,132511,261581,129030,132551,256990,129014,127976,232316,118849,113467,215491,110211,105280,205540,104776,100764,204309,104332,99977,192589,98203,94386,172094,88822,83272,143385,74744,68641,123628,64690,58938,95056,49892,45164,70677,36570,34107,49051,25147,23904,30957,16506,14451,24150,13688,10462,2.18,2688568,1361793,1326775,312601,157829,154772,2691072,1369913,1321159,87011,41240,45771,35539,16297,19242,1004,574,430,34314,15633,18681,34935,859,33859,56784,    42196,    21037,    21159,147958,73706,59727,24116,27668,29664,28791,323396,104949,201908,20476,59616,14710,64227,41047,2531689,54268,26543,27725,11198,5256,5942,11261,4752,6509,125234,63500,61734,151323,78930,72393,7030,2845,4185,80898,37632,43266,92437,42875,49562,211091,102847,108244,267347,137039,130308,83707,36377,47330,428089,225951,202138,1109176,572324,536852,10.22,10.33,10.11,1475694,600768,874926,940130,638613,301517,1454147,594142,860005,21547,6626,14921,575115,2447515,1516933,252973,12432,17561,629386,18879,41489,19365,814592,1306003,312801,2372823,260384,1828,385911,854816,297340,557476,2986877,981500,2005377,1062027,855271,1044563,837807,853421,854816,154515,52241,2986877,3.49,0.97,833169,19497,258741,593983,35716,124141,692863,847989,4733,839718,786165,12998,419032,51715,814824,22114,827096,25556,818353,1540,813403,297915,6392,810884,657840,414109,489427,159343,188691,490436,795457,326641,210473,787350,441062,457908,162367,92477,35425,50477,365642,12648,*
25,Sinaloa,000,Total de la entidad Sinaloa,9998,Localidades de una vivienda,,,,20358,8853,11505,1315,677,638,19036,8172,10864,18185,7765,10420,15624,6530,9094,14741,6105,8636,13777,5646,8131,1235,608,627,2177,1034,1143,2257,1057,1200,883,425,458,964,459,505,3806,1614,2192,5067,1442,480,962,129.96,5610,13753,988,2166,1084,1082,1914,936,978,1530,724,806,2139,956,1183,2631,1117,1514,2160,934,1226,1547,636,911,1266,539,727,1169,480,689,996,405,591,762,311,451,629,247,382,454,149,305,374,134,240,246,89,157,171,45,126,103,27,76,94,36,58,*,7863,3347,4516,12411,5473,6938,11609,5082,6527,6151,2672,3479,3825,1697,2128,83,46,37,3720,1642,2078,3716,72,3622,247,      193,       83,      110,518,238,187,125,107,120,121,1121,433,682,119,283,88,214,114,17663,444,217,227,285,133,152,218,95,123,334,127,207,239,97,142,204,92,112,2482,1080,1402,2695,1150,1545,2741,1098,1643,3725,1564,2161,930,322,608,2850,1315,1535,1624,588,1036,5.76,5.79,5.74,7569,4730,2839,2847,1794,1053,7539,4721,2818,30,9,21,2258,17722,12373,113,14,9,2959,154,72,2163,4835,9835,947,15777,1296,18,3221,1979,315,1664,6360,1200,5160,3112,2031,3031,1950,1959,1979,671,410,6360,3.21,1.05,1706,252,908,1050,178,530,1250,1648,310,1574,504,384,1054,282,1485,230,1574,384,1307,119,1462,659,83,1520,957,415,973,752,554,1070,1461,182,70,1661,215,784,41,29,283,288,1662,140,*
25,Sinaloa,000,Total de la entidad Sinaloa,9999,Localidades de dos viviendas,,,,6701,2062,4639,253,122,131,6448,1940,4508,6301,1867,4434,5753,1605,4148,5525,1482,4043,5324,1393,3931,223,112,111,472,223,249,556,274,282,228,123,105,201,89,112,869,213,656,1015,838,270,568,224.98,1176,4932,593,400,195,205,381,185,196,395,200,195,388,161,227,682,141,541,695,166,529,710,156,554,545,141,404,557,131,426,412,119,293,340,107,233,358,90,268,245,82,163,231,65,166,125,43,82,136,35,101,55,25,30,46,20,26,*,5550,1615,3935,1106,431,675,5807,1717,4090,454,144,310,373,153,220,22,2,20,347,150,197,364,22,338,228,      418,       34,      384,649,437,455,381,405,377,383,736,230,499,91,170,68,154,63,5217,88,42,46,47,20,27,49,23,26,102,45,57,113,33,80,37,13,24,682,208,474,915,215,700,850,289,561,812,297,515,357,70,287,1461,339,1122,1057,243,814,6.72,6.51,6.8,2329,783,1546,1688,821,867,2310,777,1533,19,6,13,2550,4147,2221,207,18,8,1643,42,19,29,1685,3454,614,4426,915,21,1210,979,194,785,3329,665,2664,1618,998,1582,962,975,979,420,200,3329,3.4,1.16,754,221,422,553,110,269,596,750,225,734,197,241,448,115,598,162,683,292,535,98,598,387,93,653,424,175,444,337,183,501,648,68,46,724,80,370,13,13,209,236,857,129,*
25,Sinaloa,001,Ahome,0000,Total del Municipio,,,,459310,233994,225316,20533,10065,10468,438711,223896,214815,424610,216973,207637,372641,191635,181006,349692,180257,169435,326336,168803,157533,21292,10402,10890,44778,21859,22919,53105,26025,27080,22949,11378,11571,23356,11454,11902,55914,28109,27805,122407,59353,31457,27896,96.29,109552,309762,39930,34634,16988,17646,36655,17863,18792,38263,18853,19410,39716,19568,20148,39554,19995,19559,34978,18004,16974,32564,16770,15794,30878,15950,14928,31453,16294,15159,30455,15826,14629,27622,14380,13242,23119,12013,11106,19423,10140,9283,14238,7484,6754,10649,5579,5070,7220,3815,3405,4531,2489,2042,3292,1950,1342,2.07,415303,211796,203507,41335,20928,20407,411233,210675,200558,12094,5889,6205,6109,2696,3413,58,19,39,6024,2668,3356,6071,58,5986,14600,     3761,     1723,     2038,23119,11663,9189,3795,4292,4838,4817,49919,16432,29741,3003,9062,2294,10804,6348,383521,7784,3747,4037,1267,598,669,1446,577,869,19242,9685,9557,24721,12911,11810,785,310,475,8219,3799,4420,9662,4391,5271,25513,12577,12936,35694,19064,16630,12166,5358,6808,67378,35412,31966,185919,95962,89957,10.66,10.71,10.61,222281,90165,132116,148817,101230,47587,218328,88914,129414,3953,1251,2702,91293,367807,263560,36808,1640,3018,63349,1167,7374,866,122900,199255,50407,345088,49113,399,64166,133896,46363,87533,457633,148020,309613,160276,133947,159399,133070,133682,133896,20803,5526,457633,3.42,0.95,131846,1803,43531,90122,5010,19804,108841,132957,698,132141,130282,1514,30729,2451,129648,1912,130486,3167,129532,237,129349,43860,786,126794,102216,65836,81211,21225,35872,85129,125320,53536,30721,125204,73174,63943,24619,12881,4521,6866,53318,1470,*
25,Sinaloa,001,Ahome,0001,Los Mochis,"108°59'39.634"" W","25°47'00.301"" N",0009,298009,154344,143665,12683,6235,6448,285277,148084,137193,276259,143623,132636,243262,127496,115766,228784,120275,108509,214091,113081,101010,13608,6723,6885,28407,13865,14542,33684,16563,17121,14478,7221,7257,14693,7194,7499,36270,18513,17757,82729,36256,19879,16377,93.08,69176,204947,23837,21701,10696,11005,23214,11360,11854,24261,11988,12273,25063,12389,12674,25900,13318,12582,23759,12498,11261,22780,11891,10889,21272,11080,10192,20780,11039,9741,19836,10514,9322,18090,9630,8460,15048,8037,7011,12419,6625,5794,8682,4725,3957,6479,3498,2981,4229,2358,1871,2555,1464,1091,1892,1209,683,1.89,266704,138579,128125,29262,14802,14460,266226,138846,127380,9090,4445,4645,1459,615,844,4,0,4,1452,615,837,1453,4,1446,3562,     2726,     1387,     1339,12798,6369,4978,1922,2257,2620,2560,30419,9562,18270,1916,5616,1459,6544,3689,253143,4857,2362,2495,758,373,385,688,292,396,12752,6373,6379,18301,9413,8888,378,156,222,2783,1455,1328,3642,1874,1768,10276,5606,4670,17972,10069,7903,6732,3083,3649,39291,20704,18587,141684,73765,67919,11.59,11.52,11.67,149406,64573,84833,93510,62774,30736,146657,63615,83042,2749,958,1791,55009,242824,189358,28058,1391,1928,21942,535,7085,516,82646,128498,32045,229393,31296,299,36699,90974,32697,58277,297500,99200,198300,108540,91011,107721,90192,90870,90974,14211,3318,297500,3.27,0.89,90156,687,28269,62578,1494,11749,77606,90677,172,90559,90343,290,22350,2036,90566,113,90616,232,90349,44,90533,26188,195,88487,73848,52540,61107,10624,23110,60562,86608,45184,26304,87110,61100,45292,22380,11601,2119,2540,24902,409,12
25,Sinaloa,001,Ahome,0067,El Aguajito,"109°19'40.745"" W","25°57'32.339"" N",0003,2397,1207,1190,119,64,55,2278,1143,1135,2219,1118,1101,1920,964,956,1798,906,892,1660,837,823,106,49,57,252,130,122,311,154,157,122,58,64,138,69,69,282,142,140,595,346,168,178,98.59,599,1551,247,178,89,89,207,106,101,214,106,108,223,105,118,197,106,91,163,82,81,141,67,74,116,71,45,159,72,87,175,92,83,151,73,78,127,70,57,99,42,57,102,53,49,51,23,28,41,21,20,39,22,17,14,7,7,2.54,2235,1118,1117,155,85,70,2117,1078,1039,83,37,46,7,3,4,0,0,0,7,3,4,7,0,7,16,        1,        1,        0,154,70,55,24,13,27,40,340,133,131,23,31,19,101,46,1890,40,16,24,8,3,5,5,2,3,110,55,55,86,56,30,8,4,4,77,34,43,72,27,45,298,138,160,296,149,147,92,46,46,423,231,192,540,276,264,8.36,8.57,8.15,996,342,654,922,621,301,979,336,643,17,6,11,574,1823,906,166,0,5,763,15,8,11,552,1076,292,1684,295,2,416,620,218,402,2397,779,1618,700,620,700,620,619,620,68,12,2397,3.87,1.09,605,14,189,430,27,94,498,613,6,604,539,15,205,1,568,12,577,42,568,2,567,218,8,551,422,110,249,271,99,254,555,83,18,550,119,284,14,9,41,68,464,15,4
25,Sinaloa,001,Ahome,0068,Agua Nueva,"109°05'33.996"" W","25°53'03.475"" N",0011,582,295,287,30,16,14,552,279,273,531,264,267,463,224,239,436,212,224,404,197,207,36,23,13,53,32,21,59,32,27,27,12,15,32,15,17,96,47,49,157,60,24,36,97.29,146,396,40,51,31,20,46,27,19,49,25,24,59,28,31,69,34,35,46,21,25,35,20,15,32,17,15,28,12,16,37,25,12,38,14,24,32,17,15,20,9,11,16,6,10,9,3,6,4,2,2,6,1,5,5,3,2,2.15,575,291,284,5,4,1,531,264,267,0,0,0,12,5,7,0,0,0,12,5,7,12,0,12,31,        0,        0,        0,36,14,17,2,6,6,4,89,21,68,0,12,0,6,12,451,17,10,7,4,1,3,3,1,2,25,12,13,26,13,13,3,1,2,16,4,12,16,6,10,62,23,39,96,50,46,22,7,15,105,58,47,122,63,59,8.25,8.6,7.93,284,100,184,179,124,55,282,99,183,2,1,1,94,488,303,12,0,3,171,0,0,0,173,241,49,441,82,0,59,148,43,105,582,159,423,165,148,165,148,148,148,15,2,582,3.93,1.22,145,3,58,90,14,42,92,143,5,143,137,5,13,0,132,3,133,15,130,2,130,67,3,125,62,32,56,43,34,72,136,10,2,121,23,16,0,0,8,27,120,4,3
25,Sinaloa,001,Ahome,0070,Ahome,"109°10'28.912"" W","25°55'13.979"" N",0009,11851,5973,5878,658,328,330,11188,5643,5545,10825,5467,5358,9403,4784,4619,8763,4464,4299,8107,4130,3977,535,261,274,1250,598,652,1489,730,759,640,320,320,656,334,322,1432,676,756,3005,1618,855,763,98.41,3083,7659,1104,1021,504,517,1007,471,536,1055,532,523,1103,554,549,985,456,529,835,441,394,743,391,352,768,401,367,793,385,408,726,377,349,615,306,309,577,298,279,514,277,237,395,209,186,295,141,154,199,106,93,105,61,44,110,61,49,2.24,11433,5767,5666,401,200,201,10726,5425,5301,91,41,50,102,50,52,0,0,0,101,50,51,101,0,100,270,       55,       24,       31,772,385,330,126,135,128,121,1375,434,866,103,228,51,218,227,9579,253,114,139,96,38,58,96,47,49,454,242,212,411,204,207,42,16,26,303,126,177,414,189,225,796,383,413,1562,825,737,396,180,216,2009,1060,949,3311,1659,1652,9.19,9.23,9.15,5421,2055,3366,3964,2721,1243,5308,2033,3275,113,22,91,2731,9114,5831,883,12,87,2424,3,20,7,3062,4974,1363,10067,579,9,1187,3091,1123,1968,11822,4124,7698,3573,3092,3572,3091,3084,3091,409,72,11822,3.82,1.09,3015,67,990,2092,238,560,2284,3048,34,3018,2867,64,639,31,2934,47,2947,135,2902,9,2910,1334,58,2779,2103,987,1454,622,949,1697,2769,658,257,2734,941,1475,137,76,214,330,1968,109,7
25,Sinaloa,001,Ahome,0072,Los Algodones,"109°16'59.410"" W","25°58'17.191"" N",0004,472,230,242,25,11,14,447,219,228,426,209,217,365,175,190,335,162,173,309,153,156,30,15,15,52,29,23,60,32,28,30,13,17,26,9,17,57,30,27,111,49,22,27,105.22,137,303,32,46,21,25,44,21,23,47,26,21,45,21,24,38,18,20,40,19,21,22,11,11,36,17,19,30,11,19,24,14,10,27,16,11,24,13,11,17,6,11,14,6,8,5,2,3,6,3,3,2,2,0,5,3,2,2.31,448,216,232,24,14,10,423,208,215,3,1,2,1,0,1,0,0,0,1,0,1,1,0,1,1,        0,        0,        0,24,15,4,4,6,9,4,29,14,14,1,2,2,3,6,417,14,6,8,1,0,1,2,0,2,17,7,10,20,13,7,1,0,1,12,5,7,12,5,7,65,25,40,65,31,34,14,6,8,66,36,30,105,56,49,8.06,8.48,7.66,245,89,156,119,86,33,239,88,151,6,1,5,139,333,146,44,0,0,151,0,0,1,121,210,34,353,60,0,59,122,50,72,472,170,302,131,122,131,122,122,122,8,1,472,3.87,1.24,120,2,49,73,18,28,76,117,5,109,105,13,18,6,99,5,102,20,97,1,99,38,1,105,69,27,56,50,28,46,108,9,1,108,5,70,2,5,11,14,110,2,2
25,Sinaloa,001,Ahome,0076,El Añil,"109°04'46.217"" W","25°56'46.236"" N",0010,278,135,143,13,5,8,265,130,135,252,121,131,220,106,114,196,91,105,187,88,99,20,10,10,25,14,11,41,23,18,24,15,9,9,3,6,30,17,13,63,41,17,24,105.93,82,165,31,26,14,12,21,8,13,35,22,13,19,9,10,20,11,9,23,6,17,29,16,13,8,4,4,16,8,8,14,9,5,14,6,8,12,5,7,10,2,8,12,6,6,8,3,5,3,3,0,6,2,4,2,1,1,2.4,272,134,138,6,1,5,252,121,131,0,0,0,64,27,37,0,0,0,64,27,37,64,0,64,132,        0,        0,        0,26,5,11,4,4,8,2,33,12,16,5,2,0,5,7,217,6,3,3,0,0,0,4,2,2,4,1,3,6,5,1,0,0,0,17,6,11,47,23,24,6,2,4,53,19,34,2,2,0,56,30,26,32,15,17,6.54,6.67,6.42,123,36,87,97,70,27,121,36,85,2,0,2,77,201,59,6,0,1,136,0,0,0,69,119,32,125,11,0,142,80,19,61,278,56,222,117,80,117,80,80,80,29,8,278,3.48,1.55,75,5,44,36,28,23,29,78,2,71,64,9,4,0,64,9,65,15,62,1,64,52,7,49,21,10,18,19,33,46,58,5,0,55,5,11,2,0,10,25,74,8,2
